id,title,author,authors,isbn13,isbn10,price,publisher,pubyear,subjects,lexile,pages,dimensions
378,The Best Plays Theater Yearbook 2007-2008,Jeffrey Eric Jenkins,Jeffrey Eric Jenkins,9.78088E+12,879103663,$46.70,Limelight Editions,2009,"Drama Anthologies, American Drama, American Literature Anthologies",,650,6.60 (w) x 9.40 (h) x 1.70 (d)
332,"Chocolate Thoughts: Short Stories, Essays and Poetry from the Hearts and Minds of Real Black Men",S. James Guitard,S. James Guitard,9.78193E+12,1929642377,,Literally Speaking Pub House,2006,,,,
470,African-American Literature: A Brief Introduction and Anthology,Al Young,"Al Young, Robert Young",9.78067E+12,673990176,$51.80,Longman,1997,"Peoples & Cultures - American Anthologies, African Americans - General & Miscellaneous, African American Literature - Literary Criticism",,500,6.20 (w) x 8.90 (h) x 1.00 (d)
87,American Short Stories,Bert Hitchcock,Bert Hitchcock,9.78032E+12,321484894,$76.05,Longman,2007,"Short Story Anthologies, American Literature Anthologies",,760,5.90 (w) x 8.90 (h) x 1.10 (d)
89,"The Harper American Literature, Single Volume Edition",Donald McQuade,"Donald McQuade, Justin Kaplan, Martha Banta",9.78032E+12,321012690,$89.47,Longman,1998,American Literature Anthologies,,2867,6.38 (w) x 9.14 (h) x 2.45 (d)
395,U.S. Latino Literature Today,Gabriela Baeza Ventura,Gabriela Baeza Ventura,9.78032E+12,321198433,$66.20,Longman,2004,"Latinos - General, Peoples & Cultures - American Anthologies",,352,6.40 (w) x 9.00 (h) x 0.90 (d)
131,"Anthology of American Literature, Volume I",George McMichael,"George McMichael, David Bradley, Shelley Fisher Fishkin, Dana D. Nelson, James S. Leonard",9.78021E+12,205779395,$1.99,Longman,2010,American Literature Anthologies,,2256,6.40 (w) x 9.20 (h) x 2.00 (d)
205,"Living Literature: An Introduction to Fiction, Poetry, Drama",John Brereton,John Brereton,9.78032E+12,321088999,$4.09,Longman,2007,"English Language Readers, Academic & Research Paper Writing, Student Life - College Guides, English & Irish Literature Anthologies, American Literature Anthologies, Rhetoric - English Language",,2144,6.22 (w) x 9.06 (h) x 1.82 (d)
228,Latino Boom: An Anthology of U. S. Latino Literature,John Christie,John Christie,9.78032E+12,321093836,$75.00,Longman,2005,Peoples & Cultures - American Anthologies,,592,6.40 (w) x 9.10 (h) x 1.30 (d)
130,African American Literature (Penguin Academics Series),Keith Gilyard,"Keith Gilyard, Anissa Wardi, Anissa Wardi, Keith Gilyard",9.78032E+12,321113411,$42.47,Longman,2004,Peoples & Cultures - American Anthologies,,1376,5.40 (w) x 8.20 (h) x 1.60 (d)
190,Literature and the Environment: A Reader on Nature and Culture,Lorraine Anderson,"Lorraine Anderson, John P. O'Grady, Scott Slovic, Scott Slovic, John P. O'Grady",9.78032E+12,032101149X,$68.80,Longman,1998,Literary Collections,,,
210,Longman Anthology of Women's Literature,Mary K. DeShazer,"Mary K. DeShazer, Deshazer",9.78032E+12,032101006X,$100.00,Longman,2000,"Fiction, American Literature Anthologies, Anthologies",,1520,6.30 (w) x 9.00 (h) x 1.50 (d)
280,Hispanic-American Literature: A Brief Introduction and Anthology,Nicolas Kanellos,"Nicolas Kanellos, Nicholas Kanellos",9.78067E+12,673469565,$57.90,Longman,1997,"Latinos, American & Canadian Literature, American Literature Anthologies, Latin American & Caribbean Literature",,339,5.90 (w) x 8.90 (h) x 1.00 (d)
63,Literature: A Pocket Anthology,R. S. Gwynn,R. S. Gwynn,9.78021E+12,205655106,$46.67,Longman,2009,Literary Collections,,,
376,Asian-American Literature: A Brief Introduction and Anthology,Shawn Wong,Shawn Wong,9.78067E+12,673469778,$56.66,Longman,1997,Peoples & Cultures - American Anthologies,,400,6.30 (w) x 9.10 (h) x 1.10 (d)
171,"American Literature, Volume II (Penguin Academics Series)",William E. Cain,William E. Cain,9.78032E+12,321116240,$42.93,Longman,2003,American Literature Anthologies,,1584,5.40 (w) x 8.00 (h) x 1.70 (d)
256,"American Literature (Penguin Academics Series), Vol. 1",William E. Cain,William E. Cain,9.78032E+12,321116232,$41.58,Longman,2004,American Literature Anthologies,,1392,5.50 (w) x 8.30 (h) x 1.50 (d)
455,Our Own Stories: Readings for Cross-Cultural Communication,Norine Dresser,Norine Dresser,9.7802E+12,201846705,$25.65,Longman Publishing Group,1995,"Language Arts &amp; Disciplines, General",,161,7.90 (w) x 10.12 (h) x 0.32 (d)
221,Down Time: Great Writers on Diving,Ed Kittrell,"Ed Kittrell, Casey Kittrell, Jim Kittrell, Casey Kittrell, Jim Kittrell",9.78097E+12,965834441,$1.99,Look Away Books,2001,"Nautical & Maritime Fiction, Sports Essays, Submarines - Military History, Submarines, Oceanography, Scuba & Snorkeling, Shipwrecks & Underwater Exploration, Natural Terrain - Oceans & Seas, Literary Styles & Movements - Fiction, American Literature Antho",,288,6.00 (w) x 9.00 (h) x 0.73 (d)
189,The Complete Works of Kate Chopin,Kate Chopin,"Kate Chopin, Per Seyersted, Edmund Wilson",9.78081E+12,807131512,$40.05,Louisiana State University Press,2006,"American Fiction, Regional American Anthologies",,1032,6.10 (w) x 9.10 (h) x 2.10 (d)
411,"Blacklegs, Card Sharps, and Confidence Men",Thomas Ruys Smith,Thomas Ruys Smith,9.78081E+12,807136360,$39.95,Louisiana State University Press,2010,"Literary Criticism, American",,,
307,Running a Thousand Miles for Freedom: The Escape of William and Ellen Craft from Slavery,William Craft,"William Craft, Ellen Craft, Richard J. Blackett",9.78081E+12,080712320X,,Louisiana State University Press,1999,"Biographies &amp; Autobiographies, General",,,
23,The Rienner Anthology of African Literature,Anthonia C. Kalu,Anthonia C. Kalu,9.78159E+12,1588264912,$30.39,"Lynne Rienner Publishers, Inc.",2007,African Literature Anthologies,,900,6.30 (w) x 9.10 (h) x 1.90 (d)
10,African Fundamentalism: A Literary and Cultural Anthology of Garvey's Harlem Renaissance,Tony Martin,Tony Martin,9.78091E+12,912469099,$14.95,"Majority Press, Incorporated, The",1991,"Literary Criticism, General",,363,5.31 (w) x 8.20 (h) x 0.85 (d)
260,A Hallowe'en Anthology: Literary and Historical Writings over the Centuries,Lisa Morton,Lisa Morton,9.78079E+12,786436840,$21.00,"McFarland & Company, Incorporated Publishers",2008,"American Literature Anthologies, General & Miscellaneous Literature Anthologies, Anthologies",,214,6.94 (w) x 9.99 (h) x 0.50 (d)
367,Twentieth-Century American Poetry,Dana Gioia,"Dana Gioia, Meg Schoerke, David Mason, Meg Schoerke, David Mason",9.78007E+12,72400196,$107.95,"McGraw-Hill Companies, The",2003,"Literary Criticism, Poetry",,,
78,The American Tradition in Literature (concise) book alone,George Perkins,"George Perkins, Barbara Perkins",9.78007E+12,73384895,$106.79,"McGraw-Hill Companies, The",2008,American Literature Anthologies,,2352,6.00 (w) x 9.10 (h) x 2.10 (d)
112,"The American Tradition in Literature, Volume 1(book alone)",George Perkins,"George Perkins, Barbara Perkins",9.78008E+12,77239040,$100.79,"McGraw-Hill Companies, The",2008,American Literature Anthologies,,2040,5.90 (w) x 9.10 (h) x 2.00 (d)
156,"The American Tradition in Literature, Volume 2 (book alone)",George Perkins,"George Perkins, Barbara Perkins",9.78008E+12,77239059,$104.07,"McGraw-Hill Companies, The",2008,American Literature Anthologies,,2160,6.00 (w) x 9.10 (h) x 2.00 (d)
373,"American Tradition in Literature : With American Ariel, Vol. 2",George Perkins,George Perkins,9.78007E+12,73221538,$105.80,"McGraw-Hill Companies, The",2006,American Literature Anthologies,,,6.10 (w) x 9.10 (h) x 2.00 (d)
312,Glencoe Literature: American Literature: The Reader's Choice,Jeffrey D. Wilhelm,"Jeffrey D. Wilhelm, Douglas Fisher, Beverly Ann Chin",9.78008E+12,78454816,$111.18,"McGraw-Hill Companies, The",2006,"20th Century American Literature - General & Miscellaneous - Literary Criticism, 19th Century American Literature - Literary Criticism, American Literature Anthologies",,1351,8.72 (w) x 11.16 (h) x 2.06 (d)
262,Women's Worlds: The Mcgraw-Hill Anthology of Women's Writing,Robyn Warhol-Down,"Robyn Warhol-Down, Diane Price Herndl, Mary Lou Kete",9.78007E+12,72564024,$4.00,"McGraw-Hill Companies, The",2007,"Women Authors - Literature Anthologies, English & Irish Literature Anthologies, American Literature Anthologies",,2080,6.00 (w) x 9.10 (h) x 1.77 (d)
412,Modern American Prose: Fifteen Writers + 15,John Clifford,"John Clifford, Robert DiYanni, Robert DiYanni, Robert DiYanni",9.78007E+12,70113963,$69.60,McGraw-Hill Higher Education,1993,"Poetry, American",,,
478,Georgia Cowboy Poets,David Fillingim,David Fillingim,9.78088E+12,881461830,$24.17,Mercer University Press,2010,"Poetry - General & Miscellaneous, American Poetry, American Literature Anthologies",,224,5.90 (w) x 8.90 (h) x 0.70 (d)
120,Transforming a Rape Culture,Emilie Buchwald,"Emilie Buchwald, Martha Roth, Pamela R. Fletcher, Pamela Fletcher",9.78157E+12,1571312692,$15.13,Milkweed Editions,2004,"Criminology - Bias Crimes, Family Abuse & Violence, Regional American Anthologies, Sexual Harassment, Criminology - Sex Crimes, Women & Crime",,424,6.04 (w) x 9.02 (h) x 1.10 (d)
375,Sister Nations: Native American Women Writing on Community,Heid E. Erdrich,"Heid E. Erdrich, Laura Tohe, Winona LaDuke",9.78087E+12,873514289,$14.92,Minnesota Historical Society Press,2002,"Native North American Peoples - General & Miscellaneous, Women Authors - Literature Anthologies, Native American Studies - General & Miscellaneous, Native American Literature Anthologies, American Literature Anthologies, Native North American Peoples - Au",,230,5.62 (w) x 8.50 (h) x 0.80 (d)
446,Bamboo among the Oaks: Contemporary Writing by Hmong Americans,Mai Neng Moua,Mai Neng Moua,9.78087E+12,873514378,$14.95,Minnesota Historical Society Press,2002,"Literary Criticism, American",,,
422,Christmas in Minnesota,Marilyn Ziebarth,"Marilyn Ziebarth, Brian Horrigan",9.78087E+12,873515420,$24.95,Minnesota Historical Society Press,2005,"Holidays, Religious, Regional American Anthologies, Literature Anthologies - General & Miscellaneous, American Literature Anthologies",,208,7.25 (w) x 9.25 (h) x 0.80 (d)
450,Denali: A Literary Anthology,Bill Sherwonit,Bill Sherwonit,9.7809E+12,089886710X,$18.95,"Mountaineers Books, The",2000,"Alaska - State & Local History, Places - Literary Anthologies, Regional American Anthologies, Natural History - United States, Natural Literature & History, Literature Anthologies - General & Miscellaneous",,272,5.90 (w) x 8.90 (h) x 0.80 (d)
251,If I Had My Life to Live Over,Sandra Martz,"Sandra Martz, Sandra Martz",9.78092E+12,918949254,$1.99,Moyer Bell,2010,"Women Authors - Literature Anthologies, American Literature Anthologies",,205,7.22 (w) x 9.61 (h) x 0.83 (d)
344,"Voices of Black America: Historical Recordings of Poetry, Humor and Drama, 1908-1947",Washington,"Washington, Langston Hughes, Paul Laurence Dunbar, William Shaman, Peter Adamson",9.78963E+12,962634248X,$17.98,Naxos Audiobooks,2002,Literary Collections,,,
26,Up the Down Escalator,Linda Rode,"Linda Rode, Hans Bodenstein",9.7808E+12,795701063,$10.95,NB Publishers,2010,"Literary Collections, African",,,
13,Nobody Ever Said AIDS: Poems and Stories from Southern Africa,Nobantu Rasebotsa,"Nobantu Rasebotsa, Kylie Thomas, Meg Samuelson, Njabulo S. Ndebele",9.7808E+12,795701845,$22.13,NB Publishers,2010,"Places - Literary Anthologies, African Literature Anthologies",,192,5.40 (w) x 8.30 (h) x 0.60 (d)
25,Jambula Tree and other stories: The Caine Prize for African Writing 8th Annual Collection,Monica Arac de Nyeko,Monica Arac de Nyeko,9.7819E+12,1904456731,$16.18,New Internationalist,2008,"Short Story Anthologies, African Fiction, African Literature Anthologies",,214,5.80 (w) x 8.10 (h) x 0.70 (d)
16,The Caine Prize 2009: The Caine Prize for African Writing 10th Annual Collection,New Internationalist,New Internationalist,9.78191E+12,1906523142,$16.24,New Internationalist,2009,"Short Story Anthologies, African Fiction, African Literature Anthologies",,214,5.80 (w) x 8.20 (h) x 0.60 (d)
2,The Caine Prize for African Writing 2010: 11th Annual Collection,The Caine Prize for African Writing,The Caine Prize for African Writing,9.78191E+12,1906523371,$13.46,New Internationalist,2010,"Short Story Anthologies, African Fiction, African Literature Anthologies",,208,5.00 (w) x 7.70 (h) x 0.70 (d)
